Designator,Mid X,Mid Y,Rotation,Layer
B1,150.0,-100.0,0.0,bottom
BT1,150.0,-100.0,0.0,top
C1,140.0,-132.0,180.0,top
C2,132.0,-125.175,0.0,top
C3,132.0,-122.0,0.0,top
C4,168.0,-122.8,0.0,top
C5,168.0,-112.0,180.0,top
D1,160.0,-118.5,270.0,top
IC1,133.0,-129.0,180.0,top
J1,150.0,-68.0,0.0,top
J2,177.0,-116.0,0.0,top
J3,123.0,-116.0,0.0,top
J4,163.46,-79.0,270.0,top
L1,140.0,-128.0,270.0,top
R1,141.4625,-77.0,180.0,top
R2,134.4625,-77.0,0.0,top
R3,140.0,-124.0,180.0,top
R4,125.0,-124.0,90.0,top
R5,128.0,-126.0,90.0,top
R6,167.98,-115.18125,180.0,top
R7,168.0,-125.8,180.0,top
SW2,138.0,-81.0,180.0,top
U1,150.0,-118.5,0.0,top
U2,150.0,-80.0,270.0,top
U3,167.75,-119.0875,180.0,top
