Designator,Mid X,Mid Y,Rotation,Layer
B1,150.0,-100.0,0.0,bottom
BT1,147.0,-100.0,0.0,top
C1,185.75,-99.75,90.0,top
C2,166.0,-86.0,270.0,top
C3,178.95,-82.5,180.0,top
C4,181.4,-111.6,0.0,top
C5,181.4,-109.4,0.0,top
C6,149.5,-84.1,90.0,top
C7,151.95,-84.0,90.0,top
D1,182.5,-89.5,180.0,top
FID1,119.925,-113.7,0.0,top
IC1,173.5,-85.0,180.0,top
IC2,177.2,-110.5,180.0,top
J1,150.0,-131.0,0.0,top
J2,136.0,-77.7,0.0,top
J3,135.3,-86.7,0.0,top
J4,144.0,-71.5,180.0,top
J5,128.0,-116.4,0.0,top
J6,166.6,-114.8,180.0,top
L1,177.4,-89.45,180.0,top
LED1,139.0,-131.0,0.0,top
Q1,182.75,-98.75,90.0,top
Q2,179.5,-94.5,0.0,top
R1,183.75,-92.75,90.0,top
R10,161.0,-125.0,270.0,top
R11,143.5,-90.0,180.0,top
R12,162.5,-80.0,270.0,top
R13,126.0,-78.0,90.0,top
R14,160.0,-80.0,90.0,top
R15,152.3,-71.5125,90.0,top
R16,149.6,-71.5125,90.0,top
R2,181.4,-104.45,0.0,top
R3,185.0,-103.75,270.0,top
R4,178.95,-85.85,180.0,top
R5,168.55,-84.125,270.0,top
R6,169.5,-81.0,180.0,top
R7,173.85,-110.9,90.0,top
R8,176.755,-113.7125,0.0,top
R9,157.5,-125.0,270.0,top
SW1,129.25,-76.0,90.0,top
U8,144.0,-81.5,90.0,top
